Post_Date,Neighborhood,Price,Title,Url,Bedroom,sqft
2022-08-18 14:25:00,"Seattle, Capitol Hill, Downtown, Broadway, Amazon, Microsoft",2595.0,Have Some Fun In the Sun on Our Amazing Rooftop! 1x1 w/ Julliette Balc,https://seattle.craigslist.org/see/apa/d/seattle-have-some-fun-in-the-sun-on-our/7523098051.html,1.0,639.0
2022-08-18 14:25:00,19701 112Th Ave Ne,1848.0,Available Now🌻🌼Reserve your one bedroom TODAY🌻🌼,https://seattle.craigslist.org/see/apa/d/bothell-available-nowreserve-your-one/7523097992.html,1.0,700.0
2022-08-18 14:25:00,Capitol Hill~ Paramount Theater,2175.0,4 weeks free on this super spacious studio! Check it out today! #611,https://seattle.craigslist.org/see/apa/d/seattle-weeks-free-on-this-super/7521087646.html,,485.0
2022-08-18 14:25:00,"1208 Pine St Seattle, Wa",2195.0,Large studio with floor to ceiling windows. 4 weeks free!!,https://seattle.craigslist.org/see/apa/d/seattle-large-studio-with-floor-to/7521732773.html,,554.0
2022-08-18 14:25:00,"1208 Pine St Seattle, Wa",2895.0,Extra large studio with TWO closets!!!! Secure your tour today!!!,https://seattle.craigslist.org/see/apa/d/seattle-extra-large-studio-with-two/7521810281.html,,593.0
2022-08-18 14:25:00,"1208 Pine St Seattle, Wa",2287.0,"Top floor studio with views to die for, available now!",https://seattle.craigslist.org/see/apa/d/seattle-top-floor-studio-with-views-to/7521822462.html,,554.0
2022-08-18 14:25:00,"1208 Pine St Seattle, Wa",2495.0,Tour this brand new spacious 1x1 today!,https://seattle.craigslist.org/see/apa/d/seattle-tour-this-brand-new-spacious/7522188447.html,1.0,693.0
2022-08-18 14:25:00,Seattle,3800.0,2 Bed / 2 Bath. Convenient in-home washer and dryer included.,https://seattle.craigslist.org/see/apa/d/seattle-bed-bath-convenient-in-home/7523093400.html,2.0,1023.0
2022-08-18 14:25:00,Capitol Hill,1995.0,Brand new studio available today! Never lived in! + Weeks free,https://seattle.craigslist.org/see/apa/d/seattle-brand-new-studio-available/7522252906.html,,441.0
2022-08-18 14:24:00,"337 Ne 103Rd Street Seattle, Wa",3200.0,Plaza 2 Bedroom! Available in August!,https://seattle.craigslist.org/see/apa/d/seattle-plaza-bedroom-available-in/7523097681.html,2.0,841.0
2022-08-18 14:24:00,Columbia City,1849.0,Wonderful Floor Plans! Modern Amenities! Come Tour Today! Specials$$$!,https://seattle.craigslist.org/see/apa/d/seattle-wonderful-floor-plans-modern/7523096858.html,1.0,510.0
2022-08-18 14:23:00,Northgate Seattle,2325.0,✨Large Luxe Plaza One Bedroom✨,https://seattle.craigslist.org/see/apa/d/seattle-large-luxe-plaza-one-bedroom/7523097270.html,1.0,640.0
2022-08-18 14:22:00,Capitol Hill,2175.0,4 week Frees free on this spacious Capitol Hill studio!,https://seattle.craigslist.org/see/apa/d/seattle-week-frees-free-on-this/7523096467.html,,485.0
